diameter,weight
10,0.004
12,0.006
16,0.009
20,0.023
24,0.032
27,0.053
30,0.067
36,0.11
42,0.156
48,0.345
52,0.376
56,0.409
60,0.509
64,0.546
68,0.585
76,0.838
80,0.91
